left,right,near,current
red,green,i3,1
blue,yellow,i1,3
red,yellow,i1,1
blue,red,i4,3
blue,green,i4,1
green,blue,i3,3
yellow,blue,i2,2
yellow,red,i1,2
green,yellow,i2,1
green,red,i4,2
yellow,green,i3,3
blue,red,i2,2
green,red,i4,3
red,green,i1,2
blue,red,i2,1
yellow,red,i3,1
blue,yellow,i2,3
red,yellow,i1,3
blue,yellow,i1,2
green,blue,i2,1
red,blue,i4,2
green,yellow,i1,3
red,green,i1,3
yellow,red,i3,2
blue,yellow,i1,1
red,green,i2,1
blue,green,i1,3
yellow,green,i4,1
green,yellow,i1,2
green,blue,i4,2
red,blue,i4,1
yellow,red,i4,3
red,blue,i3,3
yellow,blue,i2,1
green,blue,i1,2
yellow,green,i3,2
