left,right,near,current
red,blue,i3,1
green,red,i2,2
red,green,i2,1
green,red,i4,1
red,blue,i2,3
green,yellow,i4,2
yellow,blue,i1,2
red,blue,i4,1
blue,green,i1,2
red,blue,i1,3
green,yellow,i4,3
yellow,green,i4,1
red,yellow,i3,1
green,blue,i2,2
red,blue,i3,3
blue,green,i2,1
blue,yellow,i3,1
blue,red,i3,2
red,yellow,i1,1
green,yellow,i1,1
red,green,i4,3
yellow,red,i4,2
blue,red,i2,1
blue,green,i2,3
yellow,blue,i3,3
yellow,red,i1,2
red,yellow,i4,1
green,blue,i3,1
green,red,i2,3
yellow,green,i2,1
blue,yellow,i1,3
blue,green,i1,3
red,yellow,i3,2
yellow,blue,i4,1
blue,green,i3,3
green,red,i1,3
red,green,i1,1
blue,green,i4,2
green,yellow,i2,2
blue,green,i1,1
yellow,blue,i4,3
red,blue,i2,2
green,red,i4,2
yellow,green,i1,3
yellow,blue,i1,1
yellow,red,i4,3
blue,red,i1,2
red,yellow,i1,3
green,yellow,i1,2
green,red,i3,2
yellow,green,i3,3
red,yellow,i3,3
blue,yellow,i4,2
yellow,blue,i3,2
