concept,category,category_label,CR,dim_based_typ,beh_typ,,,
aardvark,1,animal,0.779739082,0.975319606,4.874352268,,,
abacus,13,home decor,0.798484733,0.654234116,6.374555072,,,
accordion,18,musical instrument,0.752845209,0.845987146,5.342845892,,,
acorn,0,NA,0.761851341,0.8202653,0,,,
air_conditioner,9,electronic device,0.794466206,0.914342635,4.655668532,,,
air_mattress,12,furniture,0.805999845,0.801750247,5.288886058,,,
air_pump,23,tool,0.72519077,0.731391949,6.013500985,,,
airbag,20,part of car,0.795156011,0.871640082,5.903256323,,,
airboat,26,vehicle,0.743504589,0.890537975,2.975798193,,,
aircraft_carrier,26,vehicle,0.762653956,0.973748125,5.912084496,,,
airplane,26,vehicle,0.790564444,0.94498633,7.784419621,,,
album,13,home decor,0.691516787,0.868509529,5.787896673,,,
alligator,1,animal,0.836387015,0.972559858,5.53530431,,,
almond,10,food,0.820347729,0.964733993,4.243660067,,,
aloe,21,plant,0.751898694,0.874348219,7.419739393,,,
alpaca,1,animal,0.813242687,0.97226517,5.785437631,,,
altar,0,NA,0.745048733,0.891695848,0,,,
aluminum_foil,0,NA,0.76714107,0.745421145,0,,,
amber,0,NA,0.779352837,0.649852267,0,,,
ambulance,26,vehicle,0.752369213,0.966931744,4.229243429,,,
amplifier,9,electronic device,0.750382705,0.938674071,5.43670974,,,
anchor,0,NA,0.760987919,0.839632409,0,,,
ankle,3,body part,0.836594092,0.952736424,5.088616132,,,
anklet,0,NA,0.863744355,0.878720089,0,,,
ant,1,animal,0.75471929,0.919092879,7.250107747,,,
anteater,1,animal,0.780779654,0.978337127,6.614226865,,,
antelope,1,animal,0.72138298,0.957490743,6.881422305,,,
antenna,0,NA,0.742785839,0.910250068,0,,,
anvil,23,tool,0.737907485,0.815827566,5.823888952,,,
appetizer,10,food,0.751425946,0.899636143,8.252826633,,,
apple,10,food,0.826558595,0.914490072,4.382735668,,,
apple_tree,21,plant,0.663484778,0.949915471,6.349166105,,,
applesauce,10,food,0.820477664,0.950582912,6.08718536,,,
apron,4,clothing,0.820405831,0.825891236,7.64091388,,,
aquarium,6,container,0.688419504,0.904035097,6.589300294,,,
arch,0,NA,0.709121665,0.85729661,0,,,
arm,3,body part,0.825110386,0.845397218,6.165457132,,,
armor,4,clothing,0.825568767,0.912678172,3.793217563,,,
arrow,27,weapon,0.815902374,0.66991885,4.997497814,,,
artichoke,10,food,0.807533268,0.938750813,5.092276652,,,
arugula,10,food,0.788228686,0.960938434,6.961456642,,,
ashtray,6,container,0.782621078,0.641210102,5.247513851,,,
asparagus,10,food,0.817505625,0.953951268,3.843784542,,,
avocado,10,food,0.817161293,0.942516564,7.745656069,,,
awning,0,NA,0.795033026,0.804017361,0,,,
axe,23,tool,0.831743777,0.874790112,6.173789789,,,
baby,0,NA,0.864989626,0.924967924,0,,,
backdrop,0,NA,0.759502831,0.84116611,0,,,
backgammon,0,NA,0.775922108,0.753591505,0,,,
backpack,6,container,0.758634653,0.915664078,4.663536173,,,
backscratcher,23,tool,0.803028382,0.661155887,7.287595809,,,
bacon,10,food,0.838679079,0.953965555,5.889533473,,,
badge,0,NA,0.809341762,0.821159694,0,,,
badger,1,animal,0.779213681,0.980200052,6.666745486,,,
bag,6,container,0.789145696,0.807043158,2.630660097,,,
bagel,10,food,0.815687187,0.946550947,4.237661342,,,
bagpipe,18,musical instrument,0.765402944,0.798367287,7.048363968,,,
baklava,7,dessert,0.804035226,0.968085527,5.709909047,,,
balance_beam,22,sports equipment,0.788894497,0.710415935,5.837947179,,,
ball,22,sports equipment,0.786035215,0.732591817,4.278567812,,,
balloon,24,toy,0.796141931,0.728049326,6.107265771,,,
ballot_box,6,container,0.76440936,0.879685913,5.314985003,,,
bamboo,21,plant,0.773110742,0.826849407,7.14527641,,,
banana,10,food,0.814535522,0.920430767,7.046600969,,,
banana_peel,0,NA,0.833119488,0.798323443,0,,,
banana_split,7,dessert,0.797493872,0.954235225,6.407081096,,,
bandage,17,medical equipment,0.85337127,0.844204597,7.206564919,,,
bandanna,4,clothing,0.846155476,0.719005314,4.61743491,,,
banjo,18,musical instrument,0.720902818,0.908699009,6.345384058,,,
bank,6,container,0.786610818,0.653989809,6.886564905,,,
banner,0,NA,0.83725395,0.72591811,0,,,
barbed_wire,0,NA,0.762318083,0.773474583,0,,,
barbell,22,sports equipment,0.787381691,0.905830025,6.407501028,,,
barcode,0,NA,0.817691604,0.802424921,0,,,
bark,0,NA,0.770127068,0.903202277,0,,,
barnacle,1,animal,0.713455251,0.781890541,5.557012195,,,
barrel,6,container,0.781844252,0.845447517,6.59739613,,,
barrette,0,NA,0.856378802,0.854400635,0,,,
baseball,22,sports equipment,0.806290623,0.888423628,8.031833272,,,
baseball_bat,22,sports equipment,0.807170963,0.734597818,5.909551691,,,
baseball_glove,22,sports equipment,0.777232732,0.85898742,5.161667001,,,
basil,10,food,0.728843917,0.956343709,4.718998427,,,
basket,6,container,0.750885376,0.680553012,7.482517751,,,
basketball,22,sports equipment,0.808626786,0.942417942,5.999626778,,,
basketball_hoop,22,sports equipment,0.710056979,0.900411243,4.43030467,,,
bassinet,12,furniture,0.76190225,0.794630928,7.138938089,,,
bassoon,18,musical instrument,0.759348674,0.825900156,3.088376761,,,
bat1,1,animal,0.797930491,0.944602494,6.603280978,,,
bat2,22,sports equipment,0.730222832,0.785725017,4.164908776,,,
bathmat,0,NA,0.751686223,0.861927909,0,,,
bathrobe,4,clothing,0.822043803,0.888557035,6.107954331,,,
bathtub,6,container,0.786890699,0.923119906,5.696515441,,,
baton1,0,NA,0.783071245,0.71940601,0,,,
baton2,27,weapon,0.807895001,0.781475628,4.590066684,,,
baton3,22,sports equipment,0.77077996,0.654635833,3.171380957,,,
baton4,22,sports equipment,0.796835258,0.780302819,0,,,
batter,10,food,0.802962875,0.885232256,4.824405582,,,
battery,0,NA,0.815216489,0.82452075,0,,,
bazooka,27,weapon,0.803126108,0.855821942,5.22868683,,,
beachball,22,sports equipment,0.753030634,0.70680637,4.814832644,,,
bead,0,NA,0.800544983,0.728272074,0,,,
beaker,6,container,0.761023014,0.842432205,7.905834219,,,
bean,10,food,0.815888835,0.894029238,6.113055004,,,
beanbag,12,furniture,0.829357711,0.699537838,3.595935919,,,
beanie,4,clothing,0.859840689,0.864262239,3.849785677,,,
bear,1,animal,0.813185424,0.967733635,6.809469733,,,
beard,3,body part,0.889215726,0.945964912,3.714175066,,,
beaver,1,animal,0.777178929,0.938622466,5.33746587,,,
bed,12,furniture,0.783240404,0.881041252,5.929153769,,,
bedpan,6,container,0.800129889,0.696649351,5.951276346,,,
bedpost,12,furniture,0.739768261,0.76651029,0,,,
bee,1,animal,0.764579007,0.92120266,6.744255131,,,
beehive,0,NA,0.808177157,0.909504265,0,,,
beer,8,drink,0.791860998,0.918841521,6.996809072,,,
beet,10,food,0.782680749,0.954639776,6.460926054,,,
beetle,1,animal,0.835017338,0.924421084,5.595763968,,,
bell,18,musical instrument,0.765718958,0.860950554,6.026079593,,,
bell_pepper,10,food,0.819655427,0.949818084,4.598164008,,,
belt,4,clothing,0.815860359,0.816393505,6.347356326,,,
belt_buckle,5,clothing accessory,0.805914609,0.704291256,4.380049413,,,
bench,12,furniture,0.813025719,0.787614428,7.189791313,,,
berry,10,food,0.795192308,0.888919945,7.470485682,,,
bib,0,NA,0.810135237,0.808053396,0,,,
bike,26,vehicle,0.705791817,0.874684239,5.408808756,,,
bikini,4,clothing,0.887420337,0.877828848,6.297873977,,,
bin,6,container,0.805436787,0.761408156,3.268496003,,,
binder,19,office supply,0.786357678,0.837867269,3.809212923,,,
binoculars,0,NA,0.752108507,0.80269464,0,,,
bird,1,animal,0.741348942,0.943948701,5.537006598,,,
birdbath,6,container,0.751526695,0.75576998,7.994709605,,,
birdcage,6,container,0.740148635,0.658206043,5.523274114,,,
birdhouse,13,home decor,0.760611887,0.802113815,5.632436536,,,
birthday_cake,7,dessert,0.802986013,0.805370585,5.785522586,,,
biscuit,10,food,0.831313361,0.967411054,6.745473158,,,
bison,1,animal,0.806788569,0.973114708,3.915855199,,,
blackberry,10,food,0.801752403,0.903185749,3.589682555,,,
blanket,0,NA,0.783035744,0.809031102,0,,,
blazer,4,clothing,0.732566339,0.872525732,4.063518498,,,
blender,9,electronic device,0.741492533,0.882666355,5.846242593,,,
blimp,0,NA,0.822337283,0.910710622,0,,,
blind,0,NA,0.755334956,0.838848164,0,,,
blinder,0,NA,0.739904152,0.841035294,0,,,
blindfold,0,NA,0.830367491,0.837579835,0,,,
block,0,NA,0.818365637,0.726474243,0,,,
blouse,4,clothing,0.778095896,0.901734098,6.225851921,,,
blower,9,electronic device,0.845087539,0.797884903,6.316246003,,,
blowfish,1,animal,0.815204187,0.906127086,4.096536146,,,
blowgun,27,weapon,0.794967785,0.864155341,6.653208265,,,
blowtorch,23,tool,0.799917838,0.808554819,5.314140868,,,
blueberry,10,food,0.81476794,0.910260469,4.783866941,,,
boa,4,clothing,0.812255576,0.755810258,5.354437258,,,
boar,1,animal,0.816875845,0.977680962,7.782015203,,,
board,0,NA,0.748067232,0.870131559,0,,,
