trial_ovl,trial,stimset,delay,set_size,block,valence,feedback_optimal,feedback_suboptimal1,feedback_suboptimal2
1,1,1,1,1,1,1,0.5,0.01,0.01
2,2,1,1,1,1,1,1.0,0.01,0.01
3,3,1,1,1,1,1,1.0,0.01,0.01
4,4,1,1,1,1,1,1.0,0.01,0.01
5,5,1,1,1,1,1,1.0,0.01,0.01
6,6,1,1,1,1,1,0.5,0.01,0.01
7,7,1,1,1,1,1,1.0,0.01,0.01
8,1,2,0,2,1,1,1.0,0.5,0.01
9,8,1,2,2,1,1,0.5,0.01,0.01
10,2,2,2,2,1,1,1.0,0.01,0.01
11,1,3,0,3,1,1,0.5,0.01,0.01
12,9,1,3,3,1,1,0.5,0.01,0.01
13,10,1,1,3,1,1,1.0,0.01,0.01
14,3,2,4,3,1,1,1.0,0.5,0.5
15,1,4,0,4,1,1,1.0,0.01,0.5
16,11,1,3,4,1,1,1.0,0.01,0.01
17,2,3,6,4,1,1,1.0,0.01,0.01
18,1,5,0,5,1,1,0.5,0.01,0.01
19,12,1,3,5,1,1,0.5,0.01,0.01
20,2,5,2,5,1,1,1.0,0.01,0.01
21,1,6,0,6,1,1,1.0,0.5,0.01
22,2,4,7,6,1,1,1.0,0.01,0.01
23,3,4,1,6,1,1,1.0,0.01,0.01
24,3,3,7,6,1,1,1.0,0.01,0.01
25,1,7,0,7,1,1,1.0,0.01,0.01
26,2,6,5,7,1,1,1.0,0.01,0.5
27,13,1,8,7,1,1,1.0,0.01,0.01
28,4,3,4,7,1,1,0.5,0.01,0.01
29,3,6,3,7,1,1,1.0,0.5,0.01
30,3,5,10,7,1,1,0.5,0.01,0.01
31,4,4,8,7,1,1,1.0,0.5,0.5
32,4,6,3,7,1,1,1.0,0.5,0.01
33,4,5,3,7,1,1,0.5,0.01,0.01
34,2,7,9,7,1,1,0.5,0.01,0.01
35,5,5,2,7,1,1,1.0,0.01,0.01
36,5,6,4,7,1,1,1.0,0.5,0.5
37,5,3,9,7,1,1,1.0,0.01,0.01
38,14,1,11,7,1,1,0.5,0.01,0.01
39,15,1,1,7,1,1,0.5,0.01,0.01
40,6,3,3,7,1,1,1.0,0.01,0.01
41,5,4,10,7,1,1,1.0,0.01,0.5
42,3,7,8,7,1,1,0.5,0.01,0.01
43,6,5,8,7,1,1,0.5,0.01,0.01
44,6,6,8,7,1,1,1.0,0.01,0.5
45,16,1,6,7,1,1,0.5,0.01,0.01
46,4,7,4,7,1,1,0.5,0.01,0.01
47,17,1,2,7,1,1,1.0,0.01,0.01
48,7,3,8,7,1,1,0.5,0.01,0.01
49,6,4,8,7,1,1,1.0,0.01,0.01
50,18,1,3,7,1,1,0.5,0.01,0.01
51,19,1,1,7,1,1,0.5,0.01,0.01
52,8,3,4,7,1,1,0.5,0.01,0.01
53,20,1,2,7,1,1,0.5,0.01,0.01
54,9,3,2,7,1,1,1.0,0.01,0.01
55,7,5,12,7,1,1,1.0,0.01,0.01
56,10,3,2,7,1,1,0.5,0.01,0.01
57,7,6,13,7,1,1,1.0,0.5,0.01
58,7,4,9,7,1,1,1.0,0.01,0.01
59,5,7,13,7,1,1,0.5,0.01,0.01
60,21,1,7,7,1,1,0.5,0.01,0.01
61,8,6,4,7,1,1,1.0,0.01,0.5
62,6,7,3,7,1,1,1.0,0.01,0.01
63,8,5,8,7,1,1,0.5,0.01,0.01
64,9,6,3,7,1,1,1.0,0.01,0.5
65,11,3,9,7,1,1,0.5,0.01,0.01
66,9,5,3,7,1,1,0.5,0.01,0.01
67,7,7,5,7,1,1,1.0,0.01,0.01
68,10,6,4,7,1,1,1.0,0.5,0.01
69,22,1,9,7,1,1,1.0,0.01,0.01
70,12,3,5,7,1,1,0.5,0.01,0.01
71,8,4,13,7,1,1,1.0,0.01,0.01
72,13,3,2,7,1,1,1.0,0.01,0.01
73,10,5,7,7,1,1,0.5,0.01,0.01
74,9,4,3,7,1,1,1.0,0.5,0.01
75,14,3,3,7,1,1,1.0,0.01,0.01
76,23,1,7,7,1,1,1.0,0.01,0.01
77,11,5,4,7,1,1,1.0,0.01,0.01
78,11,6,10,7,1,1,1.0,0.01,0.5
79,8,7,12,7,1,1,0.5,0.01,0.01
80,10,4,6,7,1,1,1.0,0.5,0.5
81,15,3,6,7,1,1,1.0,0.01,0.01
82,24,1,6,7,1,1,1.0,0.01,0.01
83,1,8,0,7,1,1,1.0,0.5,0.5
84,2,8,1,7,1,1,1.0,0.5,0.01
85,12,5,8,7,1,1,0.5,0.01,0.01
86,16,3,5,7,1,1,0.5,0.01,0.01
87,11,4,7,7,1,1,1.0,0.5,0.5
88,9,7,9,7,1,1,1.0,0.01,0.01
89,12,6,11,7,1,1,1.0,0.01,0.5
90,10,7,2,7,1,1,0.5,0.01,0.01
91,13,5,6,7,1,1,1.0,0.01,0.01
92,17,3,6,7,1,1,0.5,0.01,0.01
93,14,5,2,7,1,1,0.5,0.01,0.01
94,3,8,10,7,1,1,1.0,0.5,0.5
95,11,7,5,7,1,1,1.0,0.01,0.01
96,12,4,9,7,1,1,1.0,0.01,0.5
97,12,7,2,7,1,1,0.5,0.01,0.01
98,13,6,9,7,1,1,1.0,0.01,0.01
99,15,5,6,7,1,1,1.0,0.01,0.01
100,18,3,8,7,1,1,1.0,0.01,0.01
101,4,8,7,7,1,1,1.0,0.5,0.01
102,16,5,3,7,1,1,0.5,0.01,0.01
103,13,4,7,7,1,1,1.0,0.5,0.5
104,17,5,2,7,1,1,0.5,0.01,0.01
105,14,6,7,7,1,1,1.0,0.5,0.5
106,14,4,3,7,1,1,1.0,0.01,0.5
107,5,8,6,7,1,1,1.0,0.5,0.5
108,13,7,11,7,1,1,1.0,0.01,0.01
109,18,5,5,7,1,1,1.0,0.01,0.01
110,19,3,10,7,1,1,1.0,0.01,0.01
111,14,7,3,7,1,1,1.0,0.01,0.01
112,6,8,5,7,1,1,1.0,0.01,0.5
113,15,4,7,7,1,1,1.0,0.5,0.5
114,20,3,4,7,1,1,0.5,0.01,0.01
115,7,8,3,7,1,1,1.0,0.01,0.01
116,19,5,7,7,1,1,1.0,0.01,0.01
117,16,4,4,7,1,1,1.0,0.01,0.01
118,15,6,13,7,1,1,1.0,0.5,0.01
119,21,3,5,7,1,1,0.5,0.01,0.01
120,8,8,5,7,1,1,1.0,0.01,0.01
121,20,5,5,7,1,1,1.0,0.01,0.01
122,15,7,11,7,1,1,1.0,0.01,0.01
123,17,4,6,7,1,1,1.0,0.01,0.5
124,9,8,4,7,1,1,1.0,0.5,0.01
125,21,5,4,7,1,1,0.5,0.01,0.01
126,18,4,3,7,1,1,1.0,0.5,0.01
127,19,4,1,7,1,1,1.0,0.5,0.01
128,16,7,6,7,1,1,1.0,0.01,0.01
129,10,8,5,7,1,1,1.0,0.01,0.01
130,22,3,11,7,1,1,1.0,0.01,0.01
131,23,3,1,7,1,1,0.5,0.01,0.01
132,22,5,7,7,1,1,1.0,0.01,0.01
133,20,4,6,7,1,1,1.0,0.5,0.5
134,24,3,3,7,1,1,1.0,0.01,0.01
135,1,9,0,7,1,1,1.0,0.01,0.01
136,23,5,4,7,1,1,1.0,0.01,0.01
137,17,7,9,7,1,1,1.0,0.01,0.01
138,11,8,9,7,1,1,1.0,0.5,0.5
139,24,5,3,7,1,1,1.0,0.01,0.01
140,1,10,0,7,1,1,1.0,0.01,0.5
141,21,4,8,7,1,1,1.0,0.5,0.01
142,2,9,7,7,1,1,0.5,0.01,0.01
143,18,7,6,7,1,1,1.0,0.01,0.01
144,2,10,4,7,1,1,1.0,0.5,0.5
145,12,8,7,7,1,1,1.0,0.01,0.5
146,19,7,3,7,1,1,0.5,0.01,0.01
147,20,7,1,7,1,1,1.0,0.01,0.01
148,21,7,1,7,1,1,0.5,0.01,0.01
149,3,9,7,7,1,1,1.0,0.01,0.01
150,3,10,6,7,1,1,1.0,0.01,0.5
151,4,9,2,7,1,1,1.0,0.01,0.01
152,13,8,7,7,1,1,1.0,0.01,0.01
153,22,7,5,7,1,1,0.5,0.01,0.01
154,22,4,13,7,1,1,1.0,0.5,0.01
155,4,10,5,7,1,1,1.0,0.5,0.5
156,5,9,5,7,1,1,1.0,0.01,0.01
157,14,8,5,7,1,1,1.0,0.01,0.01
158,23,7,5,7,1,1,0.5,0.01,0.01
159,15,8,2,7,1,1,1.0,0.5,0.5
160,23,4,6,7,1,1,1.0,0.01,0.5
161,5,10,6,7,1,1,1.0,0.5,0.01
162,24,7,4,7,1,1,0.5,0.01,0.01
163,1,11,0,7,1,1,1.0,0.01,0.01
164,6,9,8,7,1,1,0.5,0.01,0.01
165,2,11,2,7,1,1,1.0,0.01,0.01
166,16,8,7,7,1,1,1.0,0.5,0.5
167,6,10,6,7,1,1,1.0,0.01,0.01
168,24,4,8,7,1,1,1.0,0.5,0.01
169,1,12,0,7,1,1,1.0,0.01,0.5
170,2,12,1,7,1,1,1.0,0.5,0.01
171,3,12,1,7,1,1,1.0,0.01,0.01
172,4,12,1,7,1,1,1.0,0.01,0.5
173,3,11,8,7,1,1,0.5,0.01,0.01
174,5,12,2,7,1,1,1.0,0.5,0.01
175,17,8,9,7,1,1,1.0,0.01,0.01
176,7,10,9,7,1,1,1.0,0.5,0.01
