trial_ovl,trial,stimset,delay,set_size,block,valence,feedback_optimal,feedback_suboptimal1,feedback_suboptimal2
1,1,1,1,1,1,1,1.0,0.01,0.01
2,2,1,1,1,1,1,1.0,0.01,0.01
3,3,1,1,1,1,1,1.0,0.01,0.01
4,4,1,1,1,1,1,1.0,0.01,0.01
5,1,2,0,2,1,1,1.0,0.01,0.01
6,1,3,0,3,1,1,1.0,0.01,0.01
7,2,3,1,3,1,1,1.0,0.01,0.01
8,1,4,0,4,1,1,1.0,0.01,0.01
9,2,2,4,4,1,1,1.0,0.01,0.01
10,1,5,0,5,1,1,1.0,0.01,0.01
11,1,6,0,6,1,1,1.0,0.01,0.01
12,3,3,5,6,1,1,1.0,0.01,0.01
13,1,7,0,7,1,1,1.0,0.01,0.01
14,2,4,6,7,1,1,1.0,0.01,0.01
15,1,8,0,8,1,1,1.0,0.01,0.01
16,1,9,0,9,1,1,1.0,0.01,0.01
17,2,6,6,9,1,1,1.0,0.01,0.01
18,2,8,3,9,1,1,1.0,0.01,0.01
19,4,3,7,9,1,1,1.0,0.01,0.01
20,3,6,3,9,1,1,1.0,0.01,0.01
21,2,9,5,9,1,1,1.0,0.01,0.01
22,2,7,9,9,1,1,1.0,0.01,0.01
23,3,8,5,9,1,1,1.0,0.01,0.01
24,4,6,4,9,1,1,1.0,0.01,0.01
25,3,7,3,9,1,1,1.0,0.01,0.01
26,3,9,5,9,1,1,1.0,0.01,0.01
27,4,8,4,9,1,1,1.0,0.01,0.01
28,4,9,2,9,1,1,1.0,0.01,0.01
29,5,6,5,9,1,1,1.0,0.01,0.01
30,5,3,11,9,1,1,1.0,0.01,0.01
31,4,7,6,9,1,1,1.0,0.01,0.01
32,5,8,5,9,1,1,1.0,0.01,0.01
33,5,7,2,9,1,1,1.0,0.01,0.01
34,5,9,6,9,1,1,1.0,0.01,0.01
35,6,6,6,9,1,1,1.0,0.01,0.01
36,6,3,6,9,1,1,1.0,0.01,0.01
37,7,3,1,9,1,1,1.0,0.01,0.01
38,6,8,6,9,1,1,1.0,0.01,0.01
39,8,3,2,9,1,1,1.0,0.01,0.01
40,7,8,2,9,1,1,1.0,0.01,0.01
41,6,7,8,9,1,1,1.0,0.01,0.01
42,9,3,3,9,1,1,1.0,0.01,0.01
43,6,9,9,9,1,1,1.0,0.01,0.01
44,7,6,9,9,1,1,1.0,0.01,0.01
45,7,9,2,9,1,1,1.0,0.01,0.01
46,8,8,6,9,1,1,1.0,0.01,0.01
47,7,7,6,9,1,1,1.0,0.01,0.01
48,10,3,6,9,1,1,1.0,0.01,0.01
49,8,7,2,9,1,1,1.0,0.01,0.01
50,11,3,2,9,1,1,1.0,0.01,0.01
51,8,6,7,9,1,1,1.0,0.01,0.01
52,8,9,7,9,1,1,1.0,0.01,0.01
53,9,6,2,9,1,1,1.0,0.01,0.01
54,9,8,8,9,1,1,1.0,0.01,0.01
55,9,7,6,9,1,1,1.0,0.01,0.01
56,10,7,1,9,1,1,1.0,0.01,0.01
57,12,3,7,9,1,1,1.0,0.01,0.01
58,1,10,0,9,1,1,1.0,0.01,0.01
59,11,7,3,9,1,1,1.0,0.01,0.01
60,9,9,8,9,1,1,1.0,0.01,0.01
61,10,8,7,9,1,1,1.0,0.01,0.01
62,10,9,2,9,1,1,1.0,0.01,0.01
63,2,10,5,9,1,1,1.0,0.01,0.01
64,10,6,11,9,1,1,1.0,0.01,0.01
65,12,7,6,9,1,1,1.0,0.01,0.01
66,1,11,0,9,1,1,1.0,0.01,0.01
67,2,11,1,9,1,1,1.0,0.01,0.01
68,11,6,4,9,1,1,1.0,0.01,0.01
69,11,8,8,9,1,1,1.0,0.01,0.01
70,3,10,7,9,1,1,1.0,0.01,0.01
71,11,9,9,9,1,1,1.0,0.01,0.01
72,12,6,4,9,1,1,1.0,0.01,0.01
73,1,12,0,9,1,1,1.0,0.01,0.01
74,2,12,1,9,1,1,1.0,0.01,0.01
75,4,10,5,9,1,1,1.0,0.01,0.01
76,3,11,9,9,1,1,1.0,0.01,0.01
77,12,8,8,9,1,1,1.0,0.01,0.01
78,1,13,0,9,1,1,1.0,0.01,0.01
79,12,9,8,9,1,1,1.0,0.01,0.01
80,1,14,0,9,1,1,1.0,0.01,0.01
81,2,14,1,9,1,1,1.0,0.01,0.01
82,2,13,4,9,1,1,1.0,0.01,0.01
83,3,13,1,9,1,1,1.0,0.01,0.01
84,3,14,3,9,1,1,1.0,0.01,0.01
85,4,11,9,9,1,1,1.0,0.01,0.01
86,5,10,11,9,1,1,1.0,0.01,0.01
87,4,13,4,9,1,1,1.0,0.01,0.01
88,4,14,4,9,1,1,1.0,0.01,0.01
89,5,14,1,9,1,1,1.0,0.01,0.01
90,5,11,5,9,1,1,1.0,0.01,0.01
91,6,10,5,9,1,1,1.0,0.01,0.01
92,5,13,5,9,1,1,1.0,0.01,0.01
93,6,14,4,9,1,1,1.0,0.01,0.01
94,6,11,4,9,1,1,1.0,0.01,0.01
95,7,14,2,9,1,1,1.0,0.01,0.01
96,6,13,4,9,1,1,1.0,0.01,0.01
97,7,11,3,9,1,1,1.0,0.01,0.01
98,8,11,1,9,1,1,1.0,0.01,0.01
99,7,10,8,9,1,1,1.0,0.01,0.01
100,8,14,5,9,1,1,1.0,0.01,0.01
101,9,11,3,9,1,1,1.0,0.01,0.01
102,9,14,2,9,1,1,1.0,0.01,0.01
103,10,11,2,9,1,1,1.0,0.01,0.01
104,7,13,8,9,1,1,1.0,0.01,0.01
105,11,11,2,9,1,1,1.0,0.01,0.01
106,10,14,4,9,1,1,1.0,0.01,0.01
107,8,13,3,9,1,1,1.0,0.01,0.01
108,12,11,3,9,1,1,1.0,0.01,0.01
