image_nr,image_name,file_path,cr,concept,category_label,CR,CR_pcntile,cr_rank,filename
22,abacus_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/abacus/abacus_08s.jpg,0.756097561,abacus,home decor,0.798484733,63.32863187588153,2,abacus_2.jpg
28,abacus_14s.jpg,/home/jovyan/projects/generate-sequences/THINGS/abacus/abacus_14s.jpg,0.756097561,abacus,home decor,0.798484733,63.32863187588153,1,abacus_1.jpg
69,air_conditioner_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/air_conditioner/air_conditioner_11s.jpg,0.926829268,air_conditioner,electronic device,0.794466206,58.53314527503526,2,air_conditioner_2.jpg
71,air_conditioner_13s.jpg,/home/jovyan/projects/generate-sequences/THINGS/air_conditioner/air_conditioner_13s.jpg,0.8,air_conditioner,electronic device,0.794466206,58.53314527503526,1,air_conditioner_1.jpg
332,anklet_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/anklet/anklet_01b.jpg,0.95,anklet,NA,0.863744355,99.36530324400564,1,anklet_2.jpg
340,anklet_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/anklet/anklet_09s.jpg,0.868421053,anklet,NA,0.863744355,99.36530324400564,2,anklet_1.jpg
434,apple_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/apple/apple_01b.jpg,0.952380952,apple,food,0.826558595,87.02397743300423,1,apple_2.jpg
438,apple_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/apple/apple_05s.jpg,0.769230769,apple,food,0.826558595,87.02397743300423,2,apple_1.jpg
627,awning_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/awning/awning_08s.jpg,0.926829268,awning,NA,0.795033026,59.37940761636107,1,awning_1.jpg
632,awning_13s.jpg,/home/jovyan/projects/generate-sequences/THINGS/awning/awning_13s.jpg,0.736842105,awning,NA,0.795033026,59.37940761636107,2,awning_2.jpg
745,bacon_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bacon/bacon_04s.jpg,0.906976744,bacon,food,0.838679079,93.58251057827927,2,bacon_2.jpg
755,bacon_14s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bacon/bacon_14s.jpg,0.815789474,bacon,food,0.838679079,93.58251057827927,1,bacon_1.jpg
805,bag_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bag/bag_10s.jpg,0.95,bag,container,0.789145696,52.60930888575458,2,bag_1.jpg
810,bag_15s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bag/bag_15s.jpg,0.769230769,bag,container,0.789145696,52.60930888575458,1,bag_2.jpg
937,bamboo_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bamboo/bamboo_06s.jpg,0.840909091,bamboo,plant,0.773110742,36.741889985895625,2,bamboo_1.jpg
945,bamboo_14s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bamboo/bamboo_14s.jpg,0.80952381,bamboo,plant,0.773110742,36.741889985895625,1,bamboo_2.jpg
963,banana_peel_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/banana_peel/banana_peel_03s.jpg,0.951219512,banana_peel,NA,0.833119488,91.04372355430183,2,banana_peel_2.jpg
965,banana_peel_05s.jpg,/home/jovyan/projects/generate-sequences/THINGS/banana_peel/banana_peel_05s.jpg,0.846153846,banana_peel,NA,0.833119488,91.04372355430183,1,banana_peel_1.jpg
1174,baseball_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/baseball/baseball_08s.jpg,0.85,baseball,sports equipment,0.806290623,71.29760225669958,2,baseball_1.jpg
1180,baseball_14s.jpg,/home/jovyan/projects/generate-sequences/THINGS/baseball/baseball_14s.jpg,0.87804878,baseball,sports equipment,0.806290623,71.29760225669958,1,baseball_2.jpg
1194,baseball_bat_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/baseball_bat/baseball_bat_10s.jpg,0.871794872,baseball_bat,sports equipment,0.807170963,72.28490832157969,1,baseball_bat_1.jpg
1195,baseball_bat_11s.jpg,/home/jovyan/projects/generate-sequences/THINGS/baseball_bat/baseball_bat_11s.jpg,0.804878049,baseball_bat,sports equipment,0.807170963,72.28490832157969,2,baseball_bat_2.jpg
1247,basketball_06s.jpg,/home/jovyan/projects/generate-sequences/THINGS/basketball/basketball_06s.jpg,0.8,basketball,sports equipment,0.808626786,73.4132581100141,1,basketball_1.jpg
1248,basketball_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/basketball/basketball_07s.jpg,0.829268293,basketball,sports equipment,0.808626786,73.4132581100141,2,basketball_2.jpg
1375,bathtub_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bathtub/bathtub_07s.jpg,0.857142857,bathtub,container,0.786890699,50.423131170662906,1,bathtub_2.jpg
1388,bathtub_20s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bathtub/bathtub_20s.jpg,0.769230769,bathtub,container,0.786890699,50.423131170662906,2,bathtub_1.jpg
1469,battery_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/battery/battery_01b.jpg,0.860465116,battery,NA,0.815216489,78.84344146685473,1,battery_1.jpg
1473,battery_05n.jpg,/home/jovyan/projects/generate-sequences/THINGS/battery/battery_05n.jpg,0.825609756,battery,NA,0.815216489,78.84344146685473,2,battery_2.jpg
1520,bead_07s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bead/bead_07s.jpg,0.853658537,bead,NA,0.800544983,65.0916784203103,1,bead_1.jpg
1522,bead_09s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bead/bead_09s.jpg,0.7,bead,NA,0.800544983,65.0916784203103,2,bead_2.jpg
1557,beanbag_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/beanbag/beanbag_01b.jpg,0.945945946,beanbag,furniture,0.829357711,88.99858956276445,1,beanbag_2.jpg
1560,beanbag_04s.jpg,/home/jovyan/projects/generate-sequences/THINGS/beanbag/beanbag_04s.jpg,0.842105263,beanbag,furniture,0.829357711,88.99858956276445,2,beanbag_1.jpg
1843,bench_01b.jpg,/home/jovyan/projects/generate-sequences/THINGS/bench/bench_01b.jpg,0.8,bench,furniture,0.813025719,77.08039492242595,2,bench_1.jpg
1850,bench_08s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bench/bench_08s.jpg,0.897435897,bench,furniture,0.813025719,77.08039492242595,1,bench_2.jpg
1871,bib_01n.jpg,/home/jovyan/projects/generate-sequences/THINGS/bib/bib_01n.jpg,0.925,bib,NA,0.810135237,74.82369534555711,1,bib_2.jpg
1882,bib_12s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bib/bib_12s.jpg,0.804878049,bib,NA,0.810135237,74.82369534555711,2,bib_1.jpg
1923,bin_03s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bin/bin_03s.jpg,0.725,bin,container,0.805436787,70.52186177715092,2,bin_2.jpg
1930,bin_10s.jpg,/home/jovyan/projects/generate-sequences/THINGS/bin/bin_10s.jpg,0.810810811,bin,container,0.805436787,70.52186177715092,1,bin_1.jpg
